regular season
year|n|HRW|HRL
1871|127|19|9
1872|183|29|3
1873|199|2|0
1874|232|20|7
1875|345|10|0
1876|260|3|0
1877|180|3|0
1878|184|4|0
1879|321|5|0
1880|340|8|0
1881|336|2|0
1882|572|6|0
1883|785|6|0
1884|1544|43|0
1885|890|4|0
1886|1052|32|0
1887|1058|30|0
1888|1092|22|0
1889|1090|28|0
1890|1611|30|0
1891|1109|21|0
1892|921|22|0
1893|785|12|0
1894|799|11|0
1895|799|15|0
1896|792|14|0
1897|811|25|0
1898|921|26|0
1899|923|20|0
1900|569|16|0
1901|1110|223|95
1902|1117|198|70
1903|1114|206|65
1904|1249|195|72
1905|1237|198|71
1906|1228|154|78
1907|1233|163|56
1908|1244|155|69
1909|1241|172|43
1910|1249|205|83
1911|1237|269|109
1912|1232|235|87
1913|1234|258|94
1914|1880|384|162
1915|1864|328|149
1916|1247|218|74
1917|1247|192|77
1918|1016|144|57
1919|1118|208|118
1920|1234|272|111
1921|1229|337|167
1922|1238|381|156
1923|1233|349|158
1924|1231|338|160
1925|1228|397|173
1926|1234|346|150
1927|1236|341|162
1928|1231|393|165
1929|1229|448|179
1930|1234|450|211
1931|1236|397|174
1932|1233|429|207
1933|1226|398|164
1934|1223|452|207
1935|1228|437|207
1936|1238|456|205
1937|1239|463|187
1938|1223|499|198
1939|1231|463|204
1940|1236|472|184
1941|1244|424|189
1942|1224|382|174
1943|1238|380|131
1944|1242|392|172
1945|1230|381|171
1946|1242|436|171
1947|1243|471|196
1948|1237|498|205
1949|1240|527|182
1950|1238|544|209
1951|1239|542|220
1952|1239|532|178
1953|1240|614|215
1954|1237|544|199
1955|1234|575|204
1956|1239|584|232
1957|1235|593|217
1958|1235|582|200
1959|1238|599|211
1960|1236|565|222
1961|1430|664|262
1962|1621|771|302
1963|1619|781|265
1964|1626|734|252
1965|1623|732|273
1966|1615|730|296
1967|1620|701|247
1968|1625|658|267
1969|1946|887|330
1970|1944|906|344
1971|1938|843|313
1972|1859|813|273
1973|1943|871|337
1974|1945|823|304
1975|1934|840|342
1976|1939|762|307
1977|2103|982|367
1978|2102|908|366
1979|2099|964|354
1980|2105|901|345
1981|1394|585|231
1982|2107|944|399
1983|2109|947|383
1984|2105|954|376
1985|2103|981|387
1986|2103|1031|371
1987|2105|1078|398
1988|2100|937|367
1989|2106|919|356
1990|2105|940|387
1991|2104|927|389
1992|2106|957|346
1993|2269|1065|415
1994|1600|793|290
1995|2017|996|369
1996|2267|1118|406
1997|2266|1146|412
1998|2432|1219|464
1999|2428|1256|423
2000|2429|1260|437
2001|2429|1252|453
2002|2426|1262|453
2003|2430|1248|424
2004|2428|1289|430
2005|2431|1250|425
2006|2429|1246|459
2007|2431|1197|459
2008|2428|1284|417
2009|2430|1250|414
2010|2430|1254|385
2011|2429|1224|424
2012|2430|1302|382
2013|2431|1254|432
2014|2430|1169|411
2015|2429|1284|387
2016|2428|1328|419
2017|2430|1393|405
2018|2431|1342|391
2019|2429|1440|394
2020|898|514|168
decade|n|HRW|HRL
187|2031|95|19
188|8759|181|0
189|9471|196|0
190|11342|1680|619
191|13324|2441|1010
192|12323|3602|1581
193|12311|4444|1964
194|12376|4363|1775
195|12374|5709|2085
196|15961|7223|2716
197|19806|8712|3307
198|20337|9277|3613
199|21594|10417|3901
200|24291|12538|4371
201|24297|12990|4030
202|898|514|168
century|n|HRW|HRL
18|20261|472|19
19|151748|57868|22571
20|49486|26042|8569
wild card
year|n|HRW|HRL
2012|2|0|0
2013|2|2|0
2014|2|1|1
2015|2|2|0
2016|2|2|0
2017|2|1|0
2018|2|1|0
2019|2|1|1
2020|18|12|0
decade|n|HRW|HRL
201|16|10|2
202|18|12|0
century|n|HRW|HRL
20|34|22|2
division series
year|n|HRW|HRL
1981|18|9|1
1995|15|9|3
1996|14|8|2
1997|15|9|2
1998|14|11|1
1999|16|9|4
2000|15|10|1
2001|18|11|0
2002|17|9|4
2003|18|7|3
2004|16|9|4
2005|15|7|4
2006|14|5|4
2007|13|7|4
2008|15|8|1
2009|13|7|0
2010|15|5|2
2011|19|8|6
2012|20|10|3
2013|18|10|4
2014|14|7|5
2015|19|9|6
2016|15|10|1
2017|17|9|6
2018|14|10|0
2019|18|12|4
2020|15|10|1
decade|n|HRW|HRL
198|18|9|1
199|74|46|12
200|154|80|25
201|169|90|37
202|15|10|1
century|n|HRW|HRL
19|92|55|13
20|338|180|63
league championship series
year|n|HRW|HRL
1969|6|4|1
1970|6|4|0
1971|7|4|1
1972|10|4|2
1973|10|6|0
1974|8|6|0
1975|6|4|0
1976|8|3|3
1977|9|3|0
1978|8|6|1
1979|7|4|0
1980|8|2|2
1981|8|6|0
1982|8|2|0
1983|8|5|1
1984|8|4|2
1985|13|5|3
1986|13|8|2
1987|12|5|5
1988|11|4|1
1989|10|5|3
1990|10|3|2
1991|12|4|0
1992|13|7|1
1993|12|5|2
1995|10|7|0
1996|12|5|1
1997|12|7|3
1998|12|4|2
